set_num,n_unique_colors,dominant_color_name,dominant_color_share,n_trans_parts
0003977811-1,1,Flat Silver,100.0,0
001-1,5,White,39.53,0
0012-1,1,Black,100.0,0
0013-1,1,Black,100.0,0
0014-1,1,Black,100.0,0
0015-1,1,Black,100.0,0
0016-1,1,Light Gray,100.0,0
002-1,1,White,100.0,0
003-1,7,White,42.68,12
004-1,7,Red,44.68,26
005-1,3,Red,48.57,0
01-1,1,Black,100.0,0
01-2,1,Black,100.0,0
010-1,7,Red,43.86,4
010-2,4,Red,38.89,0
010-3,7,Red,44.16,4
010423-1,16,Tan,50.81,1
011-1,7,Red,46.9,8
02-1,2,Black,50.0,0
02-2,2,Yellow,66.67,0
020-1,7,Red,44.68,9
021-1,8,Red,51.91,21
022-1,7,Red,47.27,10
0241187567-1,8,Dark Bluish Gray,21.43,3
0241357594-1,10,Red,51.52,7
028-1,5,Blue,28.57,0
03-1,2,White,60.0,0
030-2,4,Red,37.93,0
03093-1,11,[No Color/Any Color],22.22,6
032-1,4,Red,42.86,0
033-1,7,Brown,28.57,0
033-2,7,Red,45.2,6
04-1,5,Blue,30.77,0
041-1,2,Red,50.0,0
041-2,1,Red,100.0,0
042-1,3,Blue,77.78,0
044-1,7,Red,41.33,12
044-2,3,Red,40.0,0
045-1,10,Yellow,25.76,0
045-2,2,Trans-Clear,97.3,36
047-1,1,Red,100.0,0
049-1,2,Red,55.56,0
05-1,1,Red,100.0,0
050-2,3,White,50.0,1
051-1,1,Red,100.0,0
052-1,2,White,98.0,0
053-1,2,Blue,98.0,0
054-1,2,Yellow,98.0,0
055-1,2,Green,96.0,0
055-2,7,Red,36.33,15
057-1,4,White,35.29,0
058-1,3,Red,34.62,0
06-1,1,Light Gray,100.0,0
060-1,2,White,93.33,0
060-3,3,Blue,33.33,0
061-1,1,Green,100.0,0
062-1,1,White,100.0,0
063-1,1,Blue,100.0,0
063-2,3,Yellow,50.0,0
065-1,2,Light Gray,66.67,0
066-1,8,Red,48.89,17
066-2,8,Red,48.89,17
07-1,1,Black,100.0,0
071-1,4,Blue,25.0,0
074-1,3,Red,35.0,0
075-1,4,Red,52.94,0
0756668530-1,16,Black,28.38,14
0756672805-1,17,Reddish Brown,19.61,8
0756682762-1,15,Black,35.42,3
077-1,4,Red,38.1,0
078-1,1,Green,100.0,0
08-1,1,Black,100.0,0
080-1,8,Red,27.81,5
080-2,8,Red,27.81,5
080-3,5,Yellow,37.5,0
082-1,5,Red,42.86,0
085-1,2,Red,75.0,0
086-1,3,Blue,33.33,0
088-1,8,Red,41.63,35
09-1,5,Green,27.27,0
1-1,5,Black,41.38,6
1-11,6,Red,30.56,1
1-12,6,White,34.04,0
1-3,4,Red,54.05,4
1-7,6,Red,36.45,0
1-8,3,Red,59.7,0
10-1,7,Red,24.81,4
10-2,2,White,85.71,0
100-1,4,Light Gray,40.0,0
100-2,4,Light Gray,48.15,0
1000-1,2,White,94.06,0
10000-1,9,Light Gray,42.8,0
10001-1,11,Black,42.59,37
10002-1,8,Light Gray,39.19,22
10003-1,1,Sand Red,100.0,0
10004-1,1,Sand Red,100.0,0
10005-1,1,Sand Red,100.0,0
10006-1,1,Sand Red,100.0,0
10007-1,1,Sand Red,100.0,0
10008-1,1,Sand Red,100.0,0
10009-1,1,Blue,100.0,0
10010-1,1,Yellow,100.0,0
10011-1,1,Blue,100.0,0
10012-1,1,Yellow,100.0,0
10013-1,5,Black,42.15,0
10014-1,8,Black,37.65,16
10015-1,9,Black,37.63,25
10016-1,5,Black,36.72,0
10017-1,6,Black,40.35,0
10018-1,11,Black,66.11,2
10019-1,12,White,37.07,11
10020-1,10,Light Gray,39.11,9
10020-2,10,Light Gray,38.8,10
10021-1,6,Black,59.38,0
10022-1,13,Light Gray,40.63,36
10023-1,7,Black,29.73,3
10024-1,10,Red,57.01,0
10025-1,12,Light Gray,46.01,18
10026-1,9,Yellow,32.45,2
10027-1,13,Dark Gray,36.01,34
10029-1,10,Light Gray,43.11,4
10030-1,12,Light Gray,55.04,20
10036-1,12,White,58.27,5
10037-1,11,White,36.57,28
10039-1,8,Light Gray,74.0,0
10040-1,9,Black,64.55,12
10041-1,12,Red,25.66,23
10042-1,3,White,51.43,0
10043-1,1,Black,100.0,0
10044-1,4,Red,40.91,6
10045-1,2,Black,76.92,0
10046-1,1,Brown,100.0,0
10047-1,1,Light Gray,100.0,0
10048-1,2,Black,52.46,0
10049-1,4,Black,38.71,0
10050-1,1,Light Gray,100.0,0
10051-1,1,Trans-Clear,100.0,50
10052-1,6,Yellow,28.57,4
10053-1,1,Black,100.0,0
10054-1,1,Black,100.0,0
10055-1,1,Black,100.0,0
10056-1,1,White,100.0,0
10057-1,1,Black,100.0,0
10058-1,1,Red,100.0,0
10059-1,1,Green,100.0,0
10060-1,1,Light Gray,100.0,0
10061-1,1,Black,100.0,0
10062-1,1,Red,100.0,0
10063-1,1,Green,100.0,0
10064-1,1,Light Gray,100.0,0
10065-1,1,White,100.0,0
10066-1,10,Black,20.0,0
10067-1,13,Black,24.53,7
10068-1,5,Red,43.59,0
10069-1,2,Green,93.94,0
10070-1,3,White,76.92,0
10071-1,4,Yellow,52.0,0
10072-1,2,Black,96.43,0
10073-1,5,Black,44.62,0
10074-1,3,Black,73.53,0
10075-1,5,Tan,28.0,0
10076-1,3,Light Gray,79.49,0
10077-1,4,Black,50.91,8
10078-1,1,Dark Gray,100.0,0
10079-1,4,White,57.14,0
10080-1,4,White,72.73,2
10081-1,6,Trans-Dark Pink,32.86,48
10082-1,8,Trans-Orange,22.86,48
10083-1,7,Trans-Light Blue,32.86,42
10090-1,7,Reddish Brown,48.15,0
100STORES-1,1,Red,100.0,0
101-1,1,Blue,100.0,0
101-2,3,Red,51.68,0
101-3,1,Blue,100.0,0
10106-1,2,White,68.22,34
1011-1,1,White,100.0,0
10111-1,1,Green,100.0,0
10112-1,1,Green,100.0,0
10113-1,1,Green,100.0,0
10114-1,1,Sand Red,100.0,0
10115-1,4,Black,25.0,0
10116-1,7,Trans-Dark Pink,34.0,39
10117-1,7,Trans-Dark Pink,26.0,50
10118-1,9,Trans-Light Blue,28.0,43
1012-1,2,White,97.06,0
10121-1,2,[No Color/Any Color],80.0,0
10123-1,15,Dark Gray,29.99,88
10124-1,5,Brown,42.23,0
10127-1,10,Black,38.98,0
10128-1,13,Black,31.03,20
10128-2,13,Black,31.66,20
10129-1,11,Light Gray,26.29,14
10131-1,13,Blue,39.46,32
10132-1,21,Black,28.57,18
10133-1,11,Black,37.25,9
10134-1,13,Light Bluish Gray,30.42,6
10135-1,14,Trans-Dark Pink,23.05,147
1014-1,1,Light Gray,100.0,0
1014-2,3,White,90.0,0
10143-1,14,Light Bluish Gray,43.77,70
10144-1,14,Reddish Brown,38.39,13
10145-1,1,Light Gray,100.0,0
10146-1,1,Dark Gray,100.0,0
10147-1,1,Brown,100.0,0
10148-1,1,Light Gray,100.0,0
10149-1,1,Dark Gray,100.0,0
1015-1,1,White,100.0,0
10150-1,1,Brown,100.0,0
10151-1,8,Blue,30.33,8
10152-1,15,White,28.24,29
10152-2,15,White,28.24,29
10152-3,16,White,28.24,29
10153-1,1,Black,100.0,0
10155-1,15,White,28.18,31
10156-1,10,Yellow,48.51,5
10157-1,13,White,30.37,17
10158-1,10,White,36.18,21
10159-1,15,White,31.79,88
10159-2,15,White,31.79,88
1016-1,1,White,100.0,0
10160-1,1,Black,100.0,0
10161-1,1,Black,100.0,0
10162-1,1,Red,100.0,0
10163-1,1,Red,100.0,0
10165-1,6,Red,25.93,0
10166-1,7,White,29.03,1
10167-1,20,Red,14.29,11
10168-1,7,Green,26.56,0
10169-1,6,White,34.43,0
1017-1,1,White,100.0,0
10170-1,8,Yellow,31.97,0
10173-1,17,Black,40.32,53
10174-1,7,Light Bluish Gray,42.28,0
10175-1,7,Light Bluish Gray,45.3,13
10176-1,20,Light Bluish Gray,36.96,20
10177-1,12,Blue,38.76,62
10178-1,9,Light Bluish Gray,46.48,1
10179-1,14,Light Bluish Gray,54.55,56
10181-1,13,Dark Bluish Gray,81.8,82
10182-1,18,Light Bluish Gray,18.13,49
10183-1,11,Black,43.89,78
10184-1,26,Light Bluish Gray,19.2,81
10185-1,25,Light Bluish Gray,38.91,29
10186-1,10,Black,33.18,73
10187-1,16,Dark Blue,47.85,10
10188-1,22,Light Bluish Gray,36.27,162
10189-1,12,White,59.56,404
1019-1,3,White,88.89,0
10190-1,17,Light Bluish Gray,20.11,2
10191-1,11,Light Bluish Gray,39.54,33
10192-1,9,Black,38.53,94
10193-1,32,Reddish Brown,28.63,16
10194-1,19,Black,44.71,23
10195-1,15,Light Bluish Gray,27.52,4
10196-1,23,White,33.02,111
10197-1,21,Light Bluish Gray,39.32,63
10198-1,14,White,42.18,27
10199-1,23,White,14.45,47
102-1,5,Red,33.33,0
102-3,5,Red,46.08,2
1020-1,4,Yellow,33.72,0
10200-1,16,Light Bluish Gray,26.2,41
10201-1,1,Black,100.0,0
10202-1,1,Black,100.0,0
10205-1,8,Black,84.19,5
1021-1,5,Yellow,34.41,0
10210-1,26,Black,22.3,16
10211-1,27,Light Bluish Gray,22.43,172
10212-1,17,White,54.71,33
10213-1,18,White,38.4,43
10213sup-1,4,Dark Bluish Gray,51.72,0
10214-1,16,Tan,44.66,111
10215-1,17,White,31.95,5
10216-1,27,Light Bluish Gray,22.15,26
10217-1,29,Black,21.5,98
10218-1,33,Light Bluish Gray,18.53,66
10219-1,15,Black,34.98,26
1022-1,4,Red,33.33,0
10220-1,24,White,27.55,36
10221-1,18,Light Bluish Gray,41.72,30
10222-1,23,Tan,15.13,56
10223-1,27,Light Bluish Gray,28.64,24
10224-1,22,White,22.6,95
10225-1,20,White,41.54,16
10226-1,16,Dark Green,18.09,1
10227-1,17,Light Bluish Gray,42.37,13
10228-1,22,Light Bluish Gray,37.8,23
10229-1,28,White,19.11,54
1023-1,1,Red,100.0,0
10230-1,24,Light Bluish Gray,27.06,99
10231-1,19,White,35.44,55
10232-1,23,Light Bluish Gray,18.62,103
10233-1,16,Black,50.72,36
10234-1,16,Dark Tan,35.16,276
10235-1,33,Tan,15.04,93
10236-1,29,Reddish Brown,30.65,28
10237-1,27,Black,66.07,20
1024-1,7,Brown,43.75,0
10240-1,18,Light Bluish Gray,25.68,14
10241-1,20,Light Bluish Gray,27.6,37
10242-1,23,Dark Green,26.65,38
10242-2,23,Dark Green,26.65,38
10243-1,32,Light Bluish Gray,21.35,66
10244-1,28,Black,23.1,107
10245-1,35,Reddish Brown,16.43,31
10246-1,32,Light Bluish Gray,21.36,78
1024601-1,1,[No Color/Any Color],100.0,0
10247-1,27,White,26.11,63
10248-1,17,Red,34.02,29
10249-1,27,Light Bluish Gray,14.72,73
1025-1,6,Yellow,60.0,0
10250-1,10,Red,33.33,4
10251-1,39,Dark Bluish Gray,25.42,156
10252-1,18,Dark Azure,28.02,24
10253-1,18,Tan,47.54,581
10254-1,28,Black,28.01,64
10255-1,43,Light Bluish Gray,23.22,142
10256-1,14,White,59.55,404
10257-1,27,White,19.04,100
10258-1,20,Red,44.9,85
10259-1,26,Light Bluish Gray,22.7,26
1026-1,1,Red,100.0,0
10260-1,29,Light Bluish Gray,21.05,120
10261-1,32,White,35.78,52
10262-1,18,Light Bluish Gray,37.78,28
10263-1,29,Tan,17.9,64
10264-1,32,Light Bluish Gray,26.4,93
10265-1,19,Dark Blue,24.54,18
10266-1,16,Light Bluish Gray,31.85,1
10267-1,37,White,25.65,66
10268-1,16,White,44.53,20
10269-1,17,Black,39.0,8
1027-1,5,Blue,31.25,0
10270-1,39,Light Bluish Gray,18.97,58
10271-1,24,Bright Light Yellow,39.27,20
10272-1,16,White,30.5,255
10273-1,30,Light Bluish Gray,26.06,142
10274-1,20,Black,25.68,100
10275-1,30,White,20.08,29
10276-1,24,Tan,58.64,0
10277-1,20,Dark Bluish Gray,28.32,16
10278-1,35,Tan,21.94,81
10279-1,29,White,23.65,26
1028-1,1,Red,100.0,0
10280-1,23,Dark Green,14.42,0
10281-1,16,Reddish Brown,25.4,0
10282-1,12,White,67.99,0
10283-1,20,Black,28.07,8
10284-1,19,Tan,22.0,130
10285-1,1,Dark Bluish Gray,100.0,0
10287-1,1,Black,100.0,0
10289-1,18,Black,24.81,0
1029-1,11,White,36.78,5
10290-1,26,Dark Red,38.26,9
10291-1,38,White,26.43,24
10292-1,45,Tan,22.9,93
10293-1,32,White,20.18,54
10294-1,29,White,25.0,147
10295-1,20,White,34.77,22
10297-1,35,White,17.87,74
10298-1,21,Bright Light Blue,38.12,11
10299-1,19,Tan,20.39,249
102A-1,7,Yellow,39.06,11
102A-2,7,Yellow,41.07,8
103-1,4,Black,54.17,0
103-2,6,White,43.13,8
1030-1,8,Light Gray,40.0,1
10300-1,28,Black,34.07,70
10302-1,28,Red,24.07,63
10303-1,29,Dark Blue,35.37,24
10304-1,22,Black,40.52,10
10305-1,32,Light Bluish Gray,44.77,35
10306-1,26,Black,50.63,16
10307-1,21,Dark Bluish Gray,75.42,116
10308-1,39,White,13.4,89
10309-1,25,Black,27.11,0
1031-1,1,[No Color/Any Color],100.0,0
10311-1,23,White,15.95,0
10312-1,40,Dark Red,15.24,122
10313-1,26,Green,14.7,0
10314-1,18,Black,21.31,0
10315-1,28,Black,13.57,143
10316-1,43,Light Bluish Gray,25.59,84
10317-1,21,Black,32.21,38
10318-1,18,White,52.14,9
1032-1,6,Black,55.36,1
10320-1,27,White,23.84,16
10321-1,15,Red,39.42,13
10323-1,23,Black,49.53,5
10325-1,33,White,17.32,44
10326-1,37,Olive Green,17.14,113
10327-1,16,Black,45.38,14
10328-1,15,Red,34.55,0
10329-1,32,Dark Orange,30.08,4
1033-1,1,[No Color/Any Color],100.0,0
10330-1,20,Black,29.03,11
10331-1,27,Dark Blue,24.1,165
10332-1,35,Reddish Brown,20.2,39
10333-1,35,Black,37.95,276
10334-1,18,Black,18.65,7
10335-1,21,White,24.11,6
10337-1,19,White,36.45,29
10338-1,18,Yellow,41.89,29
10339-1,40,White,19.55,29
1034-1,5,Black,41.66,0
10340-1,23,Dark Green,22.78,3
10341-1,21,Light Bluish Gray,36.49,17
10342-1,28,Dark Green,14.69,0
10343-1,20,Reddish Brown,16.06,0
10344-1,16,Bright Green,17.23,22
10345-1,28,Green,11.44,0
10347-1,17,Green,15.55,0
10348-1,19,Tan,21.1,0
10349-1,15,Bright Light Yellow,26.27,0
10350-1,39,Black,18.17,61
10351-1,31,Black,16.55,41
10352-1,43,Light Bluish Gray,18.16,72
10353-1,17,Black,35.35,2
10354-1,40,Reddish Brown,24.18,30
10355-1,12,Black,54.46,75
10356-1,28,Light Bluish Gray,46.0,93
10357-1,21,Dark Blue,29.89,10
10358-1,19,Dark Blue,30.43,7
10359-1,25,White,18.2,26
10360-1,13,White,34.96,1
10361-1,27,Black,15.97,26
10362-1,30,White,14.62,35
10363-1,13,Reddish Brown,27.25,0
10365-1,30,Black,47.17,70
10366-1,45,Black,15.7,218
10367-1,18,Black,32.0,108
10368-1,17,Orange,16.91,0
10369-1,17,Reddish Brown,16.51,0
10370-1,20,Red,16.78,0
10372-1,24,Black,16.52,0
10373-1,24,Green,15.23,0
10374-1,17,Dark Green,27.88,0
10375-1,21,Black,57.4,4
1038-1,4,Light Gray,60.0,0
1039-1,4,Light Gray,51.28,0
10391-1,18,Black,25.47,0
104-1,1,Black,100.0,0
1040-1,10,Yellow,32.95,0
1040-2,10,Yellow,32.95,0
1040-3,5,Blue,30.16,0
10401-1,18,Medium Blue,14.12,9
10402-1,22,Red,15.47,2
10403-1,28,Red,14.63,17
10404-1,39,Light Bluish Gray,11.91,34
10405-1,39,White,12.81,45
1041-1,5,Blue,31.17,0
1041-2,5,Red,29.37,0
10411-1,20,White,24.19,10
10412-1,12,Bright Light Orange,15.79,0
10413-1,5,Medium Azure,60.0,0
10414-1,7,Red,25.0,0
10415-1,14,Bright Green,13.04,0
10416-1,16,Tan,33.78,4
10417-1,7,Red,42.86,0
10418-1,15,Light Bluish Gray,25.81,1
10419-1,13,Medium Nougat,13.64,1
1042-1,4,Red,33.33,0
10420-1,14,Coral,18.18,0
10421-1,14,Medium Azure,11.11,0
10422-1,22,White,17.24,5
10423-1,18,Black,12.68,0
10424-1,7,Red,29.17,0
10425-1,7,Light Bluish Gray,55.0,0
10426-1,12,Light Bluish Gray,38.1,0
10427-1,16,Light Bluish Gray,24.56,0
10428-1,20,Light Bluish Gray,21.36,0
1043-1,7,Brown,50.0,0
10431-1,11,Lime,30.0,0
10432-1,12,Bright Light Orange,17.39,0
10433-1,17,Bright Light Yellow,27.12,1
10434-1,19,Red,18.57,3
10435-1,16,Medium Azure,23.28,2
10438-1,9,White,42.86,0
10439-1,23,Bright Green,8.75,0
1044-1,4,Red,40.0,0
10440-1,11,Lime,22.22,0
10441-1,10,Yellow,16.67,0
10442-1,7,White,30.0,1
10443-1,9,White,30.43,1
10444-1,12,Bright Green,24.44,0
10445-1,17,White,27.14,2
10446-1,21,Bright Green,9.78,5
10447-1,12,White,26.32,0
10448-1,10,Dark Azure,20.69,0
10449-1,14,White,47.69,1
1045-1,5,Yellow,40.0,0
1045-2,7,Red,31.04,23
10450-1,7,Red,25.53,0
10451-1,10,Lime,16.67,0
10452-1,12,Bright Green,21.88,1
10453-1,14,Red,20.75,1
10454-1,9,Red,33.33,0
10455-1,12,White,35.19,11
10456-1,11,Red,24.24,0
10457-1,12,Lime,18.18,0
10458-1,11,White,18.18,0
10459-1,14,Reddish Orange,25.3,0
1046-1,5,Black,36.92,0
10460-1,1,Green,100.0,0
10461-1,20,Bright Green,21.57,10
10462-1,10,White,27.03,5
10463-1,13,Light Bluish Gray,16.0,0
10464-1,15,Light Aqua,15.38,3
10465-1,13,Red,25.29,0
10466-1,12,Red,20.0,0
10467-1,15,Bright Light Yellow,39.29,1
10468-1,9,Red,27.78,0
10469-1,14,Reddish Brown,25.0,1
1047-1,1,Black,100.0,0
10470-1,20,Dark Turquoise,24.7,6
10471-1,7,Dark Azure,18.18,0
10472-1,15,Yellow,13.83,2
10473-1,12,Bright Green,25.0,3
10474-1,14,Lime,11.9,3
10475-1,8,Medium Azure,22.73,0
10476-1,12,Medium Azure,19.05,2
10477-1,8,Medium Azure,20.83,0
10478-1,17,Coral,21.62,4
10479-1,15,Medium Azure,15.0,0
1048-1,2,Black,86.67,0
10480-1,16,Lime,28.24,2
1049-1,9,White,45.8,29
10497-1,11,Light Bluish Gray,41.73,55
105-1,6,Red,45.9,3
105-2,6,Red,35.33,0
105-3,6,White,41.66,18
1050-1,8,Red,23.36,6
10500-1,15,Red,18.18,0
10501-1,5,Black,20.0,1
10502-1,9,White,26.32,0
10503-1,10,Blue,24.0,2
10504-1,12,Red,20.97,2
10505-1,16,Bright Pink,26.51,0
10506-1,6,Dark Bluish Gray,66.67,0
10507-1,13,Dark Bluish Gray,23.08,1
10508-1,15,Dark Bluish Gray,23.13,2
10509-1,9,Bright Green,18.75,1
10510-1,11,Bright Green,17.5,0
10511-1,13,Medium Azure,22.64,0
10512-1,11,Bright Green,18.18,0
10513-1,16,Dark Orange,16.22,4
10514-1,19,Bright Green,10.71,2
10515-1,14,Lime,12.82,5
10516-1,14,Bright Green,16.67,3
10517-1,13,Red,18.42,0
10518-1,12,Red,20.93,1
10519-1,10,Light Bluish Gray,25.0,0
10520-1,8,Yellow,25.0,0
10521-1,7,Lime,33.33,0
10522-1,9,Bright Green,16.67,0
10524-1,9,Reddish Brown,20.69,0
10525-1,14,Red,41.67,0
10526-1,16,Red,15.38,2
10527-1,6,White,35.71,0
10528-1,9,Bright Green,26.92,0
10529-1,8,Yellow,31.25,0
1053-1,11,Black,43.27,43
10531-1,12,Bright Green,15.38,0
10532-1,13,Bright Green,12.82,0
10538-1,14,Black,13.33,4
10539-1,13,Bright Green,16.22,2
1054-1,11,White,29.25,9
10542-1,14,Bright Pink,27.27,0
10543-1,9,Red,21.05,0
10544-1,9,Yellow,22.5,1
10545-1,9,Blue,22.03,1
10546-1,12,Bright Light Orange,17.95,0
1055-1,8,Black,21.33,4
10550-1,7,Red,22.22,0
10552-1,12,Red,17.07,0
10553-1,10,Lime,17.65,0
10554-1,10,Lime,20.0,0
10555-1,11,Red,16.92,2
10556-1,16,Red,15.09,2
10557-1,16,Red,14.0,2
10558-1,12,Bright Green,22.58,0
10559-1,11,Bright Green,25.0,0
1056-1,10,Red,36.05,10
10560-1,7,Blue,28.57,0
10561-1,10,Red,18.92,0
10565-1,13,Yellow,17.04,2
10566-1,14,Red,18.87,0
10567-1,10,Lime,22.22,0
10568-1,5,Red,43.75,0
10569-1,13,Red,15.22,0
10570-1,11,Red,16.67,0
10571-1,11,Dark Pink,15.38,0
10572-1,12,Red,15.38,0
10573-1,11,Dark Pink,20.0,0
10574-1,14,Dark Orange,12.5,0
10575-1,14,Red,18.67,0
10576-1,7,Bright Green,22.22,0
10577-1,17,Medium Blue,25.19,1
10579-1,8,Red,29.41,0
10580-1,13,Red,18.95,2
10581-1,9,Bright Green,23.08,0
10582-1,14,Reddish Brown,23.08,0
10583-1,15,Bright Green,25.0,1
10584-1,17,Bright Green,19.05,0
10585-1,8,Lime,23.08,0
10586-1,5,White,54.55,0
10587-1,11,White,19.23,0
10589-1,9,Flat Silver,15.38,0
10590-1,10,Blue,24.14,0
10591-1,9,Red,31.58,2
10592-1,9,Red,26.92,1
10593-1,13,Red,41.9,1
10594-1,10,Lavender,26.32,0
10595-1,14,Dark Purple,25.29,1
10596-1,18,Bright Pink,15.87,1
10597-1,14,Red,16.67,0
10599-1,11,Light Bluish Gray,25.53,0
106-1,7,Black,45.45,5
1060-1,3,Green,40.0,0
10600-1,14,Medium Blue,13.79,1
10601-1,7,Lime,26.32,0
10602-1,16,Medium Blue,13.16,1
10603-1,9,Yellow,35.29,0
10604-1,12,Medium Azure,20.0,0
10605-1,10,Bright Green,18.75,1
10606-1,11,Medium Blue,25.64,0
10607-1,7,Red,38.46,0
10608-1,10,Red,28.57,1
10615-1,9,Blue,25.0,0
10616-1,9,Red,28.0,0
10617-1,10,Red,23.08,0
10618-1,13,Yellow,24.29,0
1062-1,7,Black,29.03,6
10622-1,20,Bright Green,16.06,2
10623-1,6,Red,21.67,0
1063-1,11,Trans-Clear,28.77,27
1064-1,9,White,34.6,1
1065-1,10,Red,34.69,18
10654-1,18,White,16.19,11
10655-1,16,Black,28.26,21
10656-1,16,Lime,15.48,4
10657-1,17,Black,15.28,14
10659-1,17,White,22.22,5
10659-2,18,White,22.22,5
1066-1,5,Black,26.67,0
10660-1,15,Bright Pink,23.49,10
10661-1,15,Red,25.58,12
10662-1,15,White,17.63,6
10663-1,23,White,15.94,27
10664-1,18,White,16.19,11
10665-1,8,Blue,28.57,4
10666-1,12,Yellow,23.94,2
10667-1,17,Tan,13.46,5
10668-1,17,Bright Pink,21.92,4
10669-1,18,Black,26.0,3
1067-1,10,Black,25.13,24
10671-1,15,Black,18.26,16
10672-1,16,Black,27.21,12
10673-1,17,White,18.24,11
10674-1,18,Tan,14.9,0
10675-1,16,White,18.8,18
10676-1,19,Light Bluish Gray,14.94,4
10677-1,17,Tan,17.14,2
10679-1,14,Dark Tan,17.39,2
1068-1,4,Black,53.33,0
10680-1,18,Light Bluish Gray,20.88,11
10681-1,20,White,12.83,11
10682-1,21,Tan,10.62,27
10683-1,15,Black,25.81,11
10684-1,27,White,18.94,10
10685-1,15,Black,20.37,23
10686-1,34,White,20.09,15
10687-1,19,Blue,20.8,10
1069-1,4,Black,41.18,1
10692-1,29,White,14.03,5
10693-1,20,White,13.86,14
10694-1,20,Bright Pink,13.2,10
10695-1,37,White,8.1,41
10696-1,35,Black,12.4,15
10697-1,39,Black,6.87,73
10698-1,33,Medium Azure,6.96,28
10699-1,1,Tan,100.0,0
107-1,6,Black,41.94,0
107-2,8,Black,35.82,9
107-3,5,Red,33.33,0
1070-1,5,White,40.0,0
10700-1,1,Bright Green,100.0,0
10701-1,1,Light Bluish Gray,100.0,0
10702-1,41,White,9.09,42
10703-1,39,White,12.15,46
10704-1,39,White,7.22,37
10705-1,42,Yellow,6.7,52
10706-1,12,Blue,33.33,5
10707-1,10,Red,25.45,1
10708-1,11,Green,27.27,1
10709-1,12,Orange,28.33,2
1071-1,4,Red,28.57,0
10712-1,27,White,18.03,4
10713-1,29,White,10.09,14
10714-1,1,Blue,100.0,0
10715-1,29,Black,12.44,34
10717-1,49,White,7.0,60
10720-1,14,White,16.67,8
10721-1,12,White,16.07,12
10722-1,15,Black,21.43,16
10723-1,18,Bright Light Orange,12.5,14
10724-1,22,Black,25.33,20
10725-1,25,Black,20.5,25
10726-1,17,Bright Pink,9.26,0
10727-1,26,White,23.02,15
10728-1,27,White,23.12,18
10729-1,21,White,17.59,8
10730-1,9,Dark Bluish Gray,25.81,2
10731-1,10,Blue,23.68,3
10732-1,7,Red,34.21,3
10733-1,12,Light Bluish Gray,20.0,0
10734-1,18,Black,20.25,14
10735-1,12,Light Bluish Gray,23.46,10
10736-1,15,White,35.29,20
10737-1,11,Black,29.63,9
10738-1,19,Red,22.22,2
10739-1,16,Black,22.34,4
10740-1,21,Red,19.05,17
10742-1,11,Tan,20.69,0
10743-1,10,Light Bluish Gray,18.84,1
10744-1,13,Reddish Brown,14.29,10
10745-1,16,Red,27.61,8
10746-1,22,White,19.61,2
10747-1,20,White,26.12,9
10748-1,16,White,20.97,1
10749-1,21,White,25.23,10
1075-1,7,Black,23.44,0
10750-1,13,Black,24.64,5
10751-1,20,Black,17.31,9
10753-1,17,Black,21.17,15
10754-1,13,White,18.97,4
10755-1,17,Black,18.33,15
10756-1,14,Trans-Orange,24.0,19
10757-1,13,Black,20.78,7
10758-1,18,Light Bluish Gray,15.22,16
10759-1,14,Black,25.29,6
1076-1,11,Black,20.98,20
10760-1,23,Light Bluish Gray,15.56,9
10761-1,24,White,15.85,23
10762-1,20,White,20.0,8
10763-1,26,White,19.0,22
10764-1,22,White,18.54,57
10765-1,19,Pearl Gold,16.09,12
10766-1,12,Lime,26.15,2
10767-1,15,Red,25.45,12
10768-1,17,Black,15.57,2
10769-1,17,White,21.21,19
1077-1,6,Black,52.33,14
10770-1,23,Black,15.17,29
10771-1,15,Red,15.91,5
10772-1,13,Red,33.93,2
10773-1,18,White,23.33,8
10774-1,17,White,22.22,14
10775-1,15,Reddish Brown,16.22,1
10776-1,14,Red,23.88,13
10777-1,19,White,23.96,6
10778-1,19,Red,19.65,5
1078-1,3,White,90.0,0
10780-1,24,Light Bluish Gray,17.17,7
10781-1,12,Black,26.92,3
10782-1,16,Light Bluish Gray,24.24,5
10783-1,15,Yellow,18.26,12
10784-1,21,White,20.44,2
10785-1,16,White,18.87,0
10786-1,17,White,24.39,9
10787-1,15,Bright Pink,12.2,1
10788-1,39,White,39.18,15
10789-1,11,Red,27.78,4
1079-1,3,White,90.0,0
10790-1,23,Light Bluish Gray,25.56,6
10791-1,23,Red,23.67,4
10792-1,11,Black,33.33,8
10793-1,20,Black,12.33,3
10794-1,23,Blue,14.77,17
10795-1,18,White,21.82,1
10796-1,19,Bright Pink,22.3,8
10797-1,30,White,12.65,27
108-1,1,Black,100.0,0
10801-1,9,Lime,23.08,0
10802-1,11,Dark Orange,33.33,0
10803-1,13,White,35.0,3
10804-1,18,Tan,18.6,1
10805-1,20,Dark Orange,14.11,5
10806-1,11,Reddish Brown,30.0,0
10807-1,11,White,20.0,0
10808-1,8,Red,23.08,0
10809-1,8,Red,26.67,0
10810-1,13,Dark Bluish Gray,31.11,0
10811-1,12,Bright Light Orange,15.79,0
10812-1,10,Light Bluish Gray,19.23,0
10813-1,12,Orange,23.88,4
10814-1,13,Light Bluish Gray,14.29,0
10815-1,8,Red,19.05,0
10816-1,11,Light Bluish Gray,12.82,0
